Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU)
4/30/2023,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at20:00 hrs; from RLDCs)",NER,2571,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Peak Shortage (MW),NER,32,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Energy Met (MU),NER,48,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Hydro Gen (MU),NER,15,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Wind Gen (MU),NER,-,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Solar Gen (MU)*,NER,1.10,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Energy Shortage (MU),NER,1.30,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",NER,2774,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Time Of Maximum Demand Met,NER,18:37,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Demand Met during Evening Peak hrs(MW) (at20:00 hrs; from RLDCs)",TOTAL,160867,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Peak Shortage (MW),TOTAL,475,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Energy Met (MU),TOTAL,3824,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Hydro Gen (MU),TOTAL,298,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Wind Gen (MU),TOTAL,102,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Solar Gen (MU)*,TOTAL,274,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Energy Shortage (MU),TOTAL,6.21,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Maximum Demand Met During the Day (MW)(From NLDC SCADA)",TOTAL,173339,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Time Of Maximum Demand Met,TOTAL,00:00,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Schedule(MU),NR,135.9,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Actual(MU),NR,127.5,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,O/D/U/D(MU),NR,-8.5,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Schedule(MU),WR,-183.7,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Actual(MU),WR,-176.0,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,O/D/U/D(MU),WR,7.7,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Schedule(MU),SR,148.1,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Actual(MU),SR,150.4,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,O/D/U/D(MU),SR,2.3,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Schedule(MU),ER,-97.4,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Actual(MU),ER,-102.9,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,O/D/U/D(MU),ER,-5.5,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Schedule(MU),NER,-2.9,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Actual(MU),NER,-2.3,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,O/D/U/D(MU),NER,0.6,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Schedule(MU),TOTAL,0.0,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Actual(MU),TOTAL,-3.4,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,O/D/U/D(MU),TOTAL,-3.4,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Central Sector,NR,5517,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,State Sector,NR,9852,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,NR,15369,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Central Sector,WR,9631,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,State Sector,WR,14062,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,WR,23693,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Central Sector,SR,4908,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,State Sector,SR,4901,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,SR,9809,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Central Sector,ER,1370,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,State Sector,ER,1390,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,ER,2760,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Central Sector,NER,425,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,State Sector,NER,264,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,NER,689,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Central Sector,TOTAL,21851,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,State Sector,TOTAL,30469,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,TOTAL,52319,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Central Sector,% Share,42,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,State Sector,% Share,58,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,% Share,100,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Coal,NR,640,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Lignite,NR,23,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Hydro,NR,176,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Nuclear,NR,29,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Gas, Naptha & Diesel",NR,9,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",NR,125,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,NR,1001,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Coal,WR,1300,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Lignite,WR,20,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Hydro,WR,17,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Nuclear,WR,33,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"Gas, Naptha & Diesel",WR,19,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,"RES (Wind, Solar, Biomass & Others)",WR,113,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Total,WR,1501,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Coal,SR,605,,,,,,,,,,,,,,,,,,,,,,,
4/30/2023,Regional Summary,Lignite,SR,49,,,,,,,,,,,,,,,,,,,,,,,
