Date,Table Name,Metric,Region,Value,Bhutan (MU),Nepal (MU),Bangladesh (MU),Godda (Bangladesh) (MU),Bhutan Peak (MW),Nepal Peak (MW),Bangladesh Peak (MW),Godda (Bangladesh) Peak (MW),Import,Voltage Level,Line Details,No. of Circuit,Max Import (MW),Max Export (MW),Import (MU),Export (MU),NET Import (MU),State,Line Name,Max (MW),Min (MW),Avg (MW),Energy Exchange (MU),Type,Country,PPA,Bilateral,DAM IEX,DAM PXIL,DAM HPX,RTM IEX,RTM PXIL,RTM HPX,Total
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,MOTIHARI-GORAKHPUR,2.0,0.0,432.0,0.0,5.9,-5.9,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,400 kV,BIHARSHARIFF-VARANASI,2.0,0.0,420.0,0.0,5.1,-5.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,220 kV,SAHUPURI-KARAMNASA,1.0,27.0,109.0,0.0,0.9,-0.9,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,NAGAR UNTARI-RIHAND,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,GARWAH-RIHAND,1.0,30.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,KARMANASA-SAHUPURI,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,132 kV,KARMANASA-CHANDAULI,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NR,,Total,,,,0.1,70.2,-70.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-WR,765 kV,JHARSUGUDA-DHARAMJAIGARH,4.0,171.0,552.0,0.0,4.4,-4.4,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-WR,765 kV,NEW RANCHI-DHARAMJAIGARH,2.0,290.0,796.0,0.0,3.5,-3.5,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-WR,765 kV,JHARSUGUDA-DURG,2.0,0.0,596.0,0.0,11.0,-11.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-WR,400 kV,JHARSUGUDA-RAIGARH,4.0,0.0,541.0,0.0,6.1,-6.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-WR,400 kV,RANCHI-SIPAT,2.0,77.0,281.0,0.0,1.5,-1.5,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-WR,220 kV,BUDHIPADAR-RAIGARH,1.0,33.0,112.0,0.0,0.8,-0.8,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-WR,220 kV,BUDHIPADAR-KORBA,2.0,175.0,43.0,2.1,0.0,2.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-WR,,Total,,,,2.1,27.2,-25.2,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-SR,HVDC,JEYPORE-GAZUWAKA B/B,2.0,0.0,709.0,0.0,16.6,-16.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-SR,HVDC,TALCHER-KOLAR BIPOLE,2.0,0.0,1645.0,0.0,39.7,-39.7,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-SR,765 kV,ANGUL-SRIKAKULAM,2.0,0.0,2415.0,0.0,47.4,-47.4,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-SR,400 kV,TALCHER-I/C,2.0,259.0,675.0,0.0,0.6,-0.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-SR,220 kV,BALIMELA-UPPER-SILERRU,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-SR,,Total,,,,0.0,103.6,-103.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NER,400 kV,BINAGURI-BONGAIGAON,2.0,250.0,23.0,2.4,0.0,2.4,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NER,400 kV,ALIPURDUAR-BONGAIGAON,2.0,794.0,0.0,9.6,0.0,9.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NER,220 kV,ALIPURDUAR-SALAKATI,2.0,155.0,0.0,2.1,0.0,2.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,ER-NER,,Total,,,,14.1,0.0,14.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,NER-NR,HVDC,BISWANATH CHARIALI-AGRA,2.0,659.0,0.0,16.1,0.0,16.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,NER-NR,,Total,,,,16.1,0.0,16.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,HVDC,CHAMPA-KURUKSHETRA,2.0,0.0,1520.0,0.0,36.4,-36.4,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,HVDC,VINDHYACHAL B/B,,274.0,0.0,7.3,0.0,7.3,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,HVDC,MUNDRA-MOHINDERGARH,2.0,0.0,258.0,0.0,6.1,-6.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,GWALIOR-AGRA,2.0,0.0,2092.0,0.0,35.8,-35.8,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,GWALIOR-PHAGI,2.0,0.0,1903.0,0.0,24.5,-24.5,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,JABALPUR-ORAI,2.0,0.0,919.0,0.0,28.7,-28.7,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,GWALIOR-ORAI,1.0,988.0,0.0,13.6,0.0,13.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,SATNA-ORAI,1.0,0.0,1053.0,0.0,20.9,-20.9,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,BANASKANTHA-CHITORGARH,2.0,787.0,711.0,0.0,2.3,-2.3,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,765 kV,VINDHYACHAL-VARANASI,2.0,0.0,2293.0,0.0,40.6,-40.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,ZERDA-KANKROLI,1.0,150.0,62.0,0.7,0.2,0.5,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,ZERDA -BHINMAL,1.0,241.0,237.0,0.0,1.1,-1.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,VINDHYACHAL -RIHAND,1.0,957.0,0.0,20.8,0.0,20.8,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,400 kV,RAPP-SHUJALPUR,2.0,262.0,323.0,1.0,2.2,-1.2,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,220 kV,BHANPURA-RANPUR,1.0,0.0,98.0,0.0,1.6,-1.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,220 kV,BHANPURA-MORAK,1.0,0.0,30.0,0.0,0.7,-0.7,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,220 kV,MEHGAON-AURAIYA,1.0,49.0,23.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,220 kV,MALANPUR-AURAIYA,1.0,36.0,31.0,0.0,0.2,-0.2,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,132 kV,GWALIOR-SAWAI MADHOPUR,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,132 kV,RAJGHAT-LALITPUR,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-NR,,Total,,,,43.4,201.1,-157.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-SR,HVDC,BHADRAWATI B/B,,0.0,507.0,0.0,11.2,-11.2,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-SR,HVDC,RAIGARH-PUGALUR,2.0,0.0,2004.0,0.0,42.6,-42.6,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-SR,765 kV,SOLAPUR-RAICHUR,2.0,415.0,871.0,0.8,6.8,-6.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-SR,765 kV,WARDHA-NIZAMABAD,2.0,0.0,2156.0,0.0,36.3,-36.3,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-SR,765 kV,WARORA-WARANGAL(NEW),2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-SR,400 kV,KOLHAPUR-KUDGI,2.0,966.0,0.0,16.5,0.0,16.5,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-SR,220 kV,KOLHAPUR-CHIKODI,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-SR,220 kV,PONDA-AMBEWADI,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-SR,220 kV,XELDEM-AMBEWADI,1.0,0.0,114.0,2.1,0.0,2.1,,,,,,,,,,,,,,,,,
12/4/2023,Inter-Region,,,,,,,,,,,,WR-SR,,Total,,,,19.4,96.9,-77.5,,,,,,,,,,,,,,,,,
12/4/2023,International,,ER,,,,,,,,,,,,,,,,,,,BHUTAN,"400kV MANGDECHHU-ALIPURDUAR 1,2&3 i.e.ALIPURDUAR RECEIPT (from MANGDECHUHEP 4*180MW)",-178.0,10.0,-81.0,-1.94,,,,,,,,,,,
12/4/2023,International,,ER,,,,,,,,,,,,,,,,,,,BHUTAN,"400kV TALA-BINAGURI 1,2,4 (& 400kVMALBASE  -  BINAGURI) i.e. BINAGURIRECEIPT (from TALA HEP 6*170MW)",294.0,60.0,143.0,3.42,,,,,,,,,,,
12/4/2023,International,,ER,,,,,,,,,,,,,,,,,,,BHUTAN,"220kV CHUKHA-BIRPARA 1&2 (& 220kVMALBASE - BIRPARA) i.e. BIRPARA RECEIPT(from CHUKHA HEP 4*84MW)",-287.0,-150.0,-251.0,-6.03,,,,,,,,,,,
12/4/2023,International,,NER,,,,,,,,,,,,,,,,,,,BHUTAN,132kV GELEPHU-SALAKATI,-35.0,-16.0,-25.0,-0.6,,,,,,,,,,,
12/4/2023,International,,NER,,,,,,,,,,,,,,,,,,,BHUTAN,132kV MOTANGA-RANGIA,16.0,-4.0,5.0,0.11,,,,,,,,,,,
12/4/2023,International,,NR,,,,,,,,,,,,,,,,,,,NEPAL,132kV MAHENDRANAGAR-TANAKPUR(NHPC),0.0,0.0,0.0,0.13,,,,,,,,,,,
12/4/2023,International,,ER,,,,,,,,,,,,,,,,,,,NEPAL,NEPAL IMPORT (FROM BIHAR),0.0,0.0,0.0,0.0,,,,,,,,,,,
12/4/2023,International,,ER,,,,,,,,,,,,,,,,,,,NEPAL,400kV DHALKEBAR-MUZAFFARPUR 1&2,128.0,-36.0,8.0,0.2,,,,,,,,,,,
12/4/2023,International,,ER,,,,,,,,,,,,,,,,,,,BANGLADESH,BHERAMARA B/B HVDC (B'DESH),-458.0,-220.0,-443.0,-10.64,,,,,,,,,,,
12/4/2023,International,,"ER(Isolated from Indian Grid)",,,,,,,,,,,,,,,,,,,BANGLADESH,400kV GODDA_TPS-RAHANPUR (B'DESH) D/C,-763.0,-498.0,-713.0,-17.11,,,,,,,,,,,
12/4/2023,International,,NER,,,,,,,,,,,,,,,,,,,BANGLADESH,132kV COMILLA-SURAJMANI NAGAR 1&2,133.0,0.0,-110.0,-2.64,,,,,,,,,,,
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Export,Bhutan,0.0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,5.96
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Export,Nepal,0.12,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.65
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Export,Bangladesh,10.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.56
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Export,Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Export,Total Export,10.68,0.0,5.96,0.0,0.0,0.53,0.0,0.0,17.17
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Import,Bhutan,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Import,Nepal,0.0,0.0,1.23,0.0,0.0,0.0,0.0,0.0,1.23
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Import,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Import,Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,Import,Total Import,0.73,0.0,1.23,0.0,0.0,0.0,0.0,0.0,1.96
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,Bhutan,0.73,0.0,-5.96,0.0,0.0,0.0,0.0,0.0,-5.23
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,Nepal,-0.12,0.0,1.23,0.0,0.0,-0.53,0.0,0.0,0.58
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,Bangladesh,-10.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.56
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/4/2023,Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,NET,Total Net,-9.95,0.0,-4.73,0.0,0.0,-0.53,0.0,0.0,-15.21
