DateID,CountryID,TotalEnergyExchanged,PeakExchange
51,5,-14.6,-672.5
52,1,2.1,257.6
52,2,-6.6,-406.0
52,3,-23.3,-1098.0
52,5,-13.4,-761.9
53,1,2.7,409.4
53,2,-4.9,-410.7
53,3,-24.5,-1069.0
53,5,-12.5,-692.9
54,1,6.2,477.0
54,2,-5.1,-363.0
54,3,-25.5,-1098.0
54,5,-15.4,-795.0
55,1,14.0,858.0
55,2,-3.3,-318.0
55,3,-24.9,-1089.0
55,5,-12.6,-786.0
56,1,13.2,740.0
56,2,0.4,-162.0
56,3,-25.3,-1102.0
56,5,-17.2,-784.2
57,1,8.1,557.0
57,2,-2.5,-299.5
57,3,-25.9,-1109.0
57,5,-17.6,-789.4
58,1,4.6,318.7
58,2,-6.9,-426.8
58,3,-25.6,-1103.0
58,5,-19.1,-1002.8
59,1,3.0,292.9
59,2,-6.2,-425.5
59,3,-25.1,-1069.0
59,5,-21.2,-1001.9
60,1,3.2,498.6
60,2,-6.8,-461.3
60,3,-25.0,-1103.0
60,5,-21.2,-1001.9
61,1,11.5,851.3
61,2,-7.1,-472.9
61,3,-25.0,-1088.0
61,5,-22.9,-1085.9
62,1,10.5,889.0
62,2,-7.1,-558.0
62,3,-25.2,-1095.0
62,5,-25.5,-1129.0
63,1,8.9,590.0
63,2,-6.7,-482.6
63,3,-25.2,-1088.0
63,5,-19.1,-1150.0
64,1,6.7,446.2
64,2,-7.6,-712.6
64,3,-25.3,-1095.0
64,5,-17.9,-814.9
65,1,5.8,438.8
65,2,-7.1,-554.8
65,3,-25.3,-1093.0
65,5,-17.9,-821.2
66,1,4.0,468.3
66,2,-7.4,-630.8
66,3,-25.3,-1104.0
66,5,-17.9,-650.2
67,1,3.5,312.2
67,2,-8.5,-416.7
67,3,-25.5,-1097.0
67,5,-10.8,-819.2
68,1,3.0,307.0
68,2,-8.9,-649.7
68,3,-25.4,-1074.0
68,5,-15.1,-1171.5
69,1,5.4,396.0
69,2,-7.9,-583.1
69,3,-24.7,-1094.0
69,5,-24.2,-1228.2
70,1,5.2,386.0
70,2,-4.7,-371.4
70,3,-24.8,-1080.0
70,5,-25.5,-1122.8
71,1,3.3,571.1
71,2,-3.1,-316.6
71,3,-25.7,-1090.0
71,5,-25.5,-1116.0
72,1,7.8,476.6
72,2,-4.0,-423.1
72,3,-24.9,-1088.0
72,5,-25.5,-1172.3
73,1,6.9,435.8
73,2,4.0,218.8
73,3,-25.0,-1107.0
73,5,-15.5,-1086.9
74,1,7.8,607.5
74,2,6.3,279.1
74,3,-25.7,-1113.0
74,5,-9.9,-789.7
75,1,19.2,1730.8
75,2,5.2,240.4
75,3,-25.4,-1090.0
75,5,-17.8,-779.2
76,1,42.2,1953.0
76,2,1.5,12.3
76,3,-25.2,-1098.0
76,5,-18.5,-894.5
77,1,43.9,2058.0
77,2,3.4,186.7
77,3,-25.1,-1105.0
77,5,-18.8,-815.8
78,1,43.9,2020.0
78,2,2.2,97.6
78,3,-24.7,-1090.0
78,5,-21.2,-1313.0
79,1,42.1,2041.0
79,2,4.0,279.0
79,3,-25.1,-1097.0
79,5,-24.3,-1121.0
80,1,43.3,1956.0
80,2,5.2,6.5
80,3,-25.1,-1100.0
80,5,-23.5,-1124.0
81,1,41.7,1855.0
81,2,6.4,131.1
81,3,-25.4,-1105.0
81,5,-17.9,-877.8
82,1,36.4,1786.1
82,2,4.5,237.6
82,3,-25.5,-1109.0
82,5,-17.9,-806.0
83,1,25.9,1364.6
83,2,4.9,276.0
83,3,-25.5,-1103.0
83,5,-17.9,-804.1
84,1,21.8,1041.5
84,2,5.7,389.6
84,3,-25.5,-1111.0
84,5,-18.0,-817.1
85,1,18.5,1408.1
85,2,5.3,260.4
85,3,-22.5,-1121.0
85,5,-18.3,-809.3
86,1,25.3,1587.0
86,2,5.2,202.6
86,3,-25.5,-1120.0
86,5,-21.7,-1221.0
87,1,21.0,1117.0
87,2,4.2,229.1
87,3,-25.5,-1100.0
87,5,-19.9,-1105.0
88,1,25.7,1326.1
88,2,5.6,240.4
88,3,-25.3,-1082.0
88,5,-11.9,-569.6
89,1,39.6,1949.9
89,2,6.9,289.1
89,3,-20.1,-1092.0
89,5,-11.3,-562.0
90,1,45.8,1799.7
90,2,7.4,311.0
90,3,-19.9,-1074.0
90,5,-12.3,-581.6
91,1,40.8,1989.0
91,2,4.2,270.0
91,3,-25.2,-1081.0
91,5,-11.7,-607.4
92,1,40.3,1899.2
92,2,7.7,316.3
92,3,-25.6,-1099.0
92,5,-13.5,-628.0
93,1,44.2,2200.0
93,2,6.5,343.1
93,3,-25.1,-1096.0
93,5,-14.7,-708.0
94,1,43.2,1984.0
94,2,8.8,381.3
94,3,-25.0,-1100.0
94,5,-14.7,-670.0
95,1,43.5,2145.0
95,2,8.5,373.0
95,3,-24.6,-1095.0
95,5,-16.1,-816.0
96,1,40.0,1854.0
96,2,6.9,84.1
96,3,-25.4,-1081.0
96,5,-16.1,-796.0
97,1,40.6,1885.0
97,2,7.6,311.1
97,3,-25.3,-1082.0
97,5,-14.1,-807.5
98,1,41.0,1833.0
98,2,6.5,344.1
98,3,-26.0,-1098.0
98,5,-14.6,-630.7
99,1,43.3,1801.5
99,2,4.4,286.0
99,3,-25.9,-1105.0
99,5,-14.7,-633.0
100,1,41.3,2032.9
100,2,6.4,356.0
100,3,-25.5,-1098.0
100,5,-9.4,-899.0
101,1,41.1,2011.0
101,2,7.5,338.0
101,3,-25.1,-1096.0
101,5,-14.7,-909.0
102,1,39.2,1923.0
102,2,8.3,371.0
102,3,-25.3,-1099.0
102,5,-26.1,-1539.0
103,1,43.9,2037.0
103,2,8.6,520.0
103,3,-25.2,-1095.0
103,5,-18.4,-1520.0
104,1,41.7,1897.0
104,2,10.8,417.0
104,3,-24.7,-1089.0
104,5,-14.7,-648.7
105,1,41.7,1932.4
105,2,10.0,442.0
105,3,-25.2,-1100.0
105,5,-14.7,-637.5
106,1,42.0,1811.0
106,2,9.5,394.0
106,3,-25.5,-1104.0
106,5,-14.7,-664.0
107,1,41.8,1828.0
107,2,8.8,410.0
107,3,-25.4,-1107.0
107,5,-14.7,-670.3
108,1,43.8,1983.7
108,2,7.1,306.0
108,3,-25.3,-1106.0
108,5,-14.7,-659.0
109,1,43.6,1982.3
109,2,5.9,294.0
109,3,-25.0,-1096.0
109,5,-17.1,-741.0
110,1,42.8,1996.0
110,2,5.7,246.0
110,3,-24.9,-1063.0
110,5,-17.1,-744.0
111,1,43.0,1968.0
111,2,6.1,351.0
111,3,-25.3,-1082.0
111,5,-17.8,-770.0
112,1,39.7,1820.0
112,2,6.9,444.0
112,3,-25.2,-1084.0
112,5,-17.8,-771.2
113,1,39.8,1802.5
113,2,6.2,313.0
113,3,-25.3,-1088.0
113,5,-17.9,-768.7
114,1,41.2,1964.0
114,2,5.4,281.0
114,3,-25.3,-1092.0
114,5,-17.9,-784.6
115,1,40.4,1971.3
115,2,6.0,330.0
115,3,-24.8,-1084.0
115,5,-17.9,-774.9
116,1,39.8,1785.7
116,2,6.7,343.0
116,3,-24.5,-1058.0
116,5,-18.0,-791.0
117,1,43.4,1974.7
117,2,7.0,286.0
117,3,-24.8,-1051.0
117,5,-18.1,-783.3
118,1,43.8,1903.0
118,2,7.1,231.0
118,3,-25.4,-1075.0
118,5,-18.1,-778.0
119,1,44.5,1898.0
119,2,8.6,393.0
119,3,-25.2,-1076.0
119,5,-18.1,-790.0
120,1,40.2,1844.0
120,2,7.5,417.0
120,3,-25.0,-1091.0
120,5,-18.1,-780.9
121,1,36.4,1848.0
121,2,7.0,336.0
121,3,-25.0,-1098.0
121,5,-18.8,-791.3
122,1,44.0,1990.0
122,2,5.1,315.0
122,3,-24.8,-1075.0
122,5,-20.6,-1203.6
123,1,41.7,2197.0
123,2,6.6,354.8
123,3,-25.2,-1081.0
123,5,-28.3,-1245.0
124,1,42.7,1991.1
124,2,7.4,366.0
124,3,-25.0,-1076.0
124,5,-29.1,-1247.0
125,1,42.3,1998.2
125,2,7.9,338.0
125,3,-24.9,-1084.0
125,5,-28.7,-1237.0
126,1,42.3,1932.0
126,2,8.8,355.4
126,3,-25.2,-1080.0
126,5,-28.9,-1244.0
127,1,43.3,1857.0
127,2,8.1,430.0
127,3,-25.5,-1078.0
127,5,-29.1,-1261.0
128,1,37.9,1784.7
128,2,8.7,467.0
128,3,-23.9,-1067.0
128,5,-27.6,-1232.8
129,1,38.2,1770.8
129,2,11.0,434.0
129,3,-24.8,-1084.0
129,5,-28.7,-1290.3
130,1,41.7,2047.8
130,2,10.5,477.0
130,3,-25.1,-1100.0
130,5,-29.3,-1379.9
131,1,40.6,1997.0
131,2,9.6,475.0
131,3,-24.8,-1079.0
131,5,-29.2,-1368.0
132,1,28.8,1815.0
132,2,8.9,431.0
132,3,-24.6,-1087.0
132,5,-28.4,-1328.0
133,1,38.0,1749.6
133,2,10.7,465.0
133,3,-25.0,-1095.0
133,5,-28.7,-1357.2
134,1,38.8,1932.0
134,2,9.2,399.0
134,3,-25.0,-1093.0
134,5,-30.1,-1379.0
135,1,39.7,1837.0
135,2,9.9,404.0
135,3,-24.8,-1076.0
135,5,-30.1,-1375.0
136,1,38.0,1835.9
136,2,7.5,379.0
136,3,-25.1,-1087.0
136,5,-28.9,-1373.6
137,1,38.9,1774.2
137,2,6.8,371.0
137,3,-25.0,-1098.0
137,5,-30.9,-1373.5
138,1,41.3,1967.0
138,2,6.8,422.0
138,3,-24.9,-1101.0
138,5,-30.8,-1375.0
139,1,42.2,1951.0
139,2,7.2,411.0
139,3,-23.0,-1084.0
139,5,-30.6,-1371.1
140,1,42.5,1929.0
140,2,9.8,437.0
140,3,-25.0,-1087.0
140,5,-30.5,-1379.0
141,1,42.0,1939.3
141,2,8.6,429.0
141,3,-24.7,-1074.0
141,5,-32.5,-1424.0
142,1,42.0,1862.0
142,2,8.8,370.9
142,3,-25.0,-1082.0
142,5,-33.1,-1433.0
143,1,44.7,2054.0
143,2,9.5,482.0
143,3,-24.7,-1084.0
143,5,-32.1,-1435.0
144,1,43.1,1997.0
144,2,10.2,433.0
144,3,-24.6,-1084.0
144,5,-31.7,-1429.5
145,1,41.3,1905.0
145,2,11.2,468.0
145,3,-24.6,-1069.0
145,5,-31.7,-1427.2
146,1,30.4,1911.0
146,2,10.6,475.0
146,3,-23.7,-1145.0
146,5,-25.7,-1427.4
147,1,41.1,1909.5
147,2,11.8,443.4
147,3,-24.0,-1087.0
147,5,-28.5,-1328.0
148,1,40.7,1881.5
148,2,10.4,464.9
148,3,-24.6,-1082.0
148,5,-30.2,-1380.0
149,1,42.5,1909.5
149,2,9.4,394.7
149,3,-25.3,-1117.0
149,5,-28.3,-1375.0
150,1,42.0,1912.0
150,2,9.7,459.0
150,3,-25.2,-1116.0
150,5,-32.1,-1518.0
151,1,40.4,1816.0
151,2,10.0,385.0
151,3,-24.9,-1101.0
151,5,-30.3,-1429.0
152,1,31.4,1895.9
152,2,11.0,516.0
152,3,-25.0,-1108.0
152,5,-33.1,-1472.0
153,1,40.2,2055.1
153,2,11.0,436.0
153,3,-25.4,-1111.0
153,5,-29.6,-1435.9
154,1,41.8,1853.7
154,2,9.7,483.0
154,3,-25.5,-1117.0
154,5,-29.6,-1435.0
155,1,41.2,1900.1
155,2,8.9,463.0
155,3,-25.5,-1095.0
155,5,-32.0,-1486.0
156,1,39.7,1839.0
156,2,8.9,422.0
156,3,-24.6,-1085.0
156,5,-31.1,-1474.0
