DateID,CountryID,MechanismID,ExchangeDirection,ExchangeValue
98,2,5,NET,0.0
98,2,6,NET,0.0
98,2,7,NET,0.0
98,2,8,NET,0.0
98,3,1,NET,-22.38
98,3,2,NET,0.0
98,3,3,NET,0.0
98,3,4,NET,0.0
98,3,5,NET,0.0
98,3,6,NET,0.0
98,3,7,NET,0.0
98,3,8,NET,0.0
98,4,1,NET,0.0
98,4,2,NET,0.0
98,4,3,NET,0.0
98,4,4,NET,0.0
98,4,5,NET,0.0
98,4,6,NET,0.0
98,4,7,NET,0.0
98,4,8,NET,0.0
98,8,1,NET,18.45
98,8,2,NET,2.47
98,8,3,NET,8.69
98,8,4,NET,0.0
98,8,5,NET,0.0
98,8,6,NET,0.0
98,8,7,NET,0.0
98,8,8,NET,0.0
99,1,1,Export,0.0
99,1,2,Export,0.0
99,1,3,Export,0.0
99,1,4,Export,0.0
99,1,5,Export,0.0
99,1,6,Export,0.0
99,1,7,Export,0.0
99,1,8,Export,0.0
99,2,1,Export,0.14
99,2,2,Export,0.0
99,2,3,Export,0.21
99,2,4,Export,0.0
99,2,5,Export,0.0
99,2,6,Export,0.0
99,2,7,Export,0.0
99,2,8,Export,0.0
99,3,1,Export,22.21
99,3,2,Export,0.0
99,3,3,Export,0.0
99,3,4,Export,0.0
99,3,5,Export,0.0
99,3,6,Export,0.0
99,3,7,Export,0.0
99,3,8,Export,0.0
99,4,1,Export,0.0
99,4,2,Export,0.0
99,4,3,Export,0.0
99,4,4,Export,0.0
99,4,5,Export,0.0
99,4,6,Export,0.0
99,4,7,Export,0.0
99,4,8,Export,0.0
99,6,1,Export,22.35
99,6,2,Export,0.0
99,6,3,Export,0.21
99,6,4,Export,0.0
99,6,5,Export,0.0
99,6,6,Export,0.0
99,6,7,Export,0.0
99,6,8,Export,0.0
99,1,1,Import,39.68
99,1,2,Import,2.47
99,1,3,Import,0.0
99,1,4,Import,0.0
99,1,5,Import,0.0
99,1,6,Import,0.0
99,1,7,Import,0.0
99,1,8,Import,0.0
99,2,1,Import,0.0
99,2,2,Import,0.0
99,2,3,Import,6.91
99,2,4,Import,0.0
99,2,5,Import,0.0
99,2,6,Import,0.0
99,2,7,Import,0.0
99,2,8,Import,0.0
99,3,1,Import,0.0
99,3,2,Import,0.0
99,3,3,Import,0.0
99,3,4,Import,0.0
99,3,5,Import,0.0
99,3,6,Import,0.0
99,3,7,Import,0.0
99,3,8,Import,0.0
99,4,1,Import,0.0
99,4,2,Import,0.0
99,4,3,Import,0.0
99,4,4,Import,0.0
99,4,5,Import,0.0
99,4,6,Import,0.0
99,4,7,Import,0.0
99,4,8,Import,0.0
99,7,1,Import,39.68
99,7,2,Import,2.47
99,7,3,Import,6.91
99,7,4,Import,0.0
99,7,5,Import,0.0
99,7,6,Import,0.0
99,7,7,Import,0.0
99,7,8,Import,0.0
99,1,1,NET,39.68
99,1,2,NET,2.47
99,1,3,NET,0.0
99,1,4,NET,0.0
99,1,5,NET,0.0
99,1,6,NET,0.0
99,1,7,NET,0.0
99,1,8,NET,0.0
99,2,1,NET,-0.14
99,2,2,NET,0.0
99,2,3,NET,6.7
99,2,4,NET,0.0
99,2,5,NET,0.0
99,2,6,NET,0.0
99,2,7,NET,0.0
99,2,8,NET,0.0
99,3,1,NET,-22.21
99,3,2,NET,0.0
99,3,3,NET,0.0
99,3,4,NET,0.0
99,3,5,NET,0.0
99,3,6,NET,0.0
99,3,7,NET,0.0
99,3,8,NET,0.0
99,4,1,NET,0.0
99,4,2,NET,0.0
99,4,3,NET,0.0
99,4,4,NET,0.0
99,4,5,NET,0.0
99,4,6,NET,0.0
99,4,7,NET,0.0
99,4,8,NET,0.0
99,8,1,NET,17.33
99,8,2,NET,2.47
99,8,3,NET,6.7
99,8,4,NET,0.0
99,8,5,NET,0.0
99,8,6,NET,0.0
99,8,7,NET,0.0
99,8,8,NET,0.0
106,1,1,Export,0.0
106,1,2,Export,0.0
106,1,3,Export,0.0
106,1,4,Export,0.0
106,1,5,Export,0.0
106,1,6,Export,0.0
106,1,7,Export,0.0
106,1,8,Export,0.0
106,2,1,Export,0.0
106,2,2,Export,0.0
106,2,3,Export,0.18
106,2,4,Export,0.0
106,2,5,Export,0.0
106,2,6,Export,0.0
106,2,7,Export,0.0
106,2,8,Export,0.0
106,3,1,Export,22.35
106,3,2,Export,0.0
106,3,3,Export,0.0
106,3,4,Export,0.0
106,3,5,Export,0.0
106,3,6,Export,0.0
106,3,7,Export,0.0
106,3,8,Export,0.0
106,4,1,Export,0.0
106,4,2,Export,0.0
106,4,3,Export,0.0
106,4,4,Export,0.0
106,4,5,Export,0.0
106,4,6,Export,0.0
106,4,7,Export,0.0
106,4,8,Export,0.0
106,6,1,Export,22.35
106,6,2,Export,0.0
106,6,3,Export,0.18
106,6,4,Export,0.0
106,6,5,Export,0.0
106,6,6,Export,0.0
106,6,7,Export,0.0
106,6,8,Export,0.0
106,1,1,Import,40.27
106,1,2,Import,2.28
106,1,3,Import,0.0
106,1,4,Import,0.0
106,1,5,Import,0.0
106,1,6,Import,0.0
106,1,7,Import,0.0
106,1,8,Import,0.0
106,2,1,Import,0.0
106,2,2,Import,0.0
106,2,3,Import,10.2
106,2,4,Import,0.0
106,2,5,Import,0.0
106,2,6,Import,0.0
106,2,7,Import,0.0
106,2,8,Import,0.0
106,3,1,Import,0.0
106,3,2,Import,0.0
106,3,3,Import,0.0
106,3,4,Import,0.0
106,3,5,Import,0.0
106,3,6,Import,0.0
106,3,7,Import,0.0
106,3,8,Import,0.0
106,4,1,Import,0.0
106,4,2,Import,0.0
106,4,3,Import,0.0
106,4,4,Import,0.0
106,4,5,Import,0.0
106,4,6,Import,0.0
106,4,7,Import,0.0
106,4,8,Import,0.0
106,7,1,Import,40.27
106,7,2,Import,2.28
106,7,3,Import,10.2
106,7,4,Import,0.0
106,7,5,Import,0.0
106,7,6,Import,0.0
106,7,7,Import,0.0
106,7,8,Import,0.0
106,1,1,NET,40.27
106,1,2,NET,2.28
106,1,3,NET,0.0
106,1,4,NET,0.0
106,1,5,NET,0.0
106,1,6,NET,0.0
106,1,7,NET,0.0
106,1,8,NET,0.0
106,2,1,NET,0.0
106,2,2,NET,0.0
106,2,3,NET,10.02
106,2,4,NET,0.0
106,2,5,NET,0.0
106,2,6,NET,0.0
106,2,7,NET,0.0
106,2,8,NET,0.0
106,3,1,NET,-22.35
106,3,2,NET,0.0
106,3,3,NET,0.0
106,3,4,NET,0.0
106,3,5,NET,0.0
106,3,6,NET,0.0
106,3,7,NET,0.0
106,3,8,NET,0.0
106,4,1,NET,0.0
106,4,2,NET,0.0
106,4,3,NET,0.0
106,4,4,NET,0.0
106,4,5,NET,0.0
106,4,6,NET,0.0
106,4,7,NET,0.0
106,4,8,NET,0.0
106,8,1,NET,17.92
106,8,2,NET,2.28
106,8,3,NET,10.02
106,8,4,NET,0.0
106,8,5,NET,0.0
106,8,6,NET,0.0
106,8,7,NET,0.0
