DateID,RegionID,GenerationSourceID,GenerationAmount
1,4,8,27.0
1,4,10,3.55
1,4,1,654.0
1,4,2,0.0
1,4,9,0.0
1,4,6,0.0
1,4,14,4.0
1,5,8,7.0
1,5,10,0.25
1,5,1,11.0
1,5,2,0.0
1,5,9,0.0
1,5,6,31.0
1,5,14,0.0
1,1,8,116.0
1,1,11,15.0
1,1,10,135.9
1,1,1,553.0
1,1,2,27.0
1,1,9,31.0
1,1,6,5.0
1,1,14,175.0
1,3,8,61.0
1,3,11,40.0
1,3,10,127.37
1,3,1,659.0
1,3,2,70.0
1,3,9,74.0
1,3,6,5.0
1,3,14,195.0
1,6,8,232.0
1,6,11,145.0
1,6,10,333.0
1,6,1,3216.0
1,6,2,118.0
1,6,9,139.0
1,6,6,56.0
1,6,14,532.0
1,2,8,20.0
1,2,11,90.0
1,2,10,65.6
1,2,1,1339.0
1,2,2,21.0
1,2,9,34.0
1,2,6,15.0
1,2,14,157.0
2,4,8,29.0
2,4,10,3.31
2,4,1,643.0
2,4,2,0.0
2,4,9,0.0
2,4,6,0.0
2,4,14,4.0
2,5,8,11.0
2,5,10,0.71
2,5,1,11.0
2,5,2,0.0
2,5,9,0.0
2,5,6,31.0
2,5,14,1.0
2,1,8,119.0
2,1,11,35.0
2,1,10,139.92
2,1,1,543.0
2,1,2,26.0
2,1,9,30.0
2,1,6,7.0
2,1,14,200.0
2,3,8,58.0
2,3,11,47.0
2,3,10,128.45
2,3,1,621.0
2,3,2,68.0
2,3,9,71.0
2,3,6,5.0
2,3,14,201.0
2,6,8,235.0
2,6,11,162.0
2,6,10,340.0
2,6,1,3131.0
2,6,2,115.0
2,6,9,135.0
2,6,6,55.0
2,6,14,554.0
2,2,8,19.0
2,2,11,80.0
2,2,10,67.75
2,2,1,1312.0
2,2,2,21.0
2,2,9,34.0
2,2,6,12.0
2,2,14,148.0
3,4,8,35.0
3,4,10,2.03
3,4,1,680.0
3,4,2,0.0
3,4,9,0.0
3,4,6,0.0
3,4,14,3.0
3,5,8,11.0
3,5,10,0.63
3,5,1,13.0
3,5,2,0.0
3,5,9,0.0
3,5,6,31.0
3,5,14,1.0
3,1,8,121.0
3,1,11,49.0
3,1,10,133.83
3,1,1,566.0
3,1,2,25.0
3,1,9,30.0
3,1,6,7.0
3,1,14,207.0
3,3,8,74.0
3,3,11,32.0
3,3,10,127.44
3,3,1,654.0
3,3,2,72.0
3,3,9,70.0
3,3,6,6.0
3,3,14,188.0
3,6,8,276.0
3,6,11,189.0
3,6,10,331.0
3,6,1,3293.0
3,6,2,118.0
3,6,9,134.0
3,6,6,59.0
3,6,14,575.0
3,2,8,35.0
3,2,11,108.0
3,2,10,67.34
3,2,1,1379.0
3,2,2,21.0
3,2,9,34.0
3,2,6,15.0
3,2,14,177.0
4,4,8,41.0
4,4,10,2.57
4,4,1,706.0
4,4,2,0.0
4,4,9,0.0
4,4,6,0.0
4,4,14,3.0
4,5,8,11.0
4,5,10,0.6
4,5,1,16.0
4,5,2,0.0
4,5,9,0.0
4,5,6,31.0
4,5,14,1.0
4,1,8,126.0
4,1,11,13.0
4,1,10,140.4
4,1,1,609.0
4,1,2,24.0
4,1,9,30.0
4,1,6,8.0
4,1,14,173.0
4,3,8,70.0
4,3,11,29.0
4,3,10,117.53
4,3,1,698.0
4,3,2,71.0
4,3,9,70.0
4,3,6,7.0
4,3,14,174.0
4,6,8,291.0
4,6,11,132.0
4,6,10,326.0
4,6,1,3437.0
4,6,2,117.0
4,6,9,134.0
4,6,6,62.0
4,6,14,507.0
4,2,8,43.0
4,2,11,90.0
4,2,10,64.86
4,2,1,1410.0
4,2,2,22.0
4,2,9,34.0
4,2,6,16.0
4,2,14,156.0
5,4,8,43.0
5,4,10,6.03
5,4,1,715.0
5,4,2,0.0
5,4,9,0.0
5,4,6,0.0
5,4,14,6.0
5,5,8,15.0
5,5,10,0.93
5,5,1,15.0
5,5,2,0.0
5,5,9,0.0
5,5,6,31.0
5,5,14,1.0
5,1,8,122.0
5,1,11,17.0
5,1,10,141.68
5,1,1,627.0
5,1,2,22.0
5,1,9,30.0
5,1,6,8.0
5,1,14,179.0
5,3,8,73.0
5,3,11,28.0
5,3,10,126.2
5,3,1,712.0
5,3,2,69.0
5,3,9,70.0
5,3,6,7.0
5,3,14,180.0
5,6,8,321.0
5,6,11,178.0
5,6,10,334.0
5,6,1,3388.0
5,6,2,113.0
5,6,9,134.0
5,6,6,60.0
5,6,14,559.0
5,2,8,69.0
5,2,11,132.0
5,2,10,58.85
5,2,1,1319.0
5,2,2,22.0
5,2,9,34.0
5,2,6,15.0
5,2,14,192.0
6,4,8,38.0
6,4,10,5.31
6,4,1,732.0
6,4,2,0.0
6,4,9,0.0
6,4,6,0.0
6,4,14,6.0
6,5,8,10.0
6,5,10,1.2
6,5,1,17.0
6,5,2,0.0
6,5,9,0.0
6,5,6,31.0
6,5,14,1.0
6,1,8,119.0
6,1,11,41.0
6,1,10,138.56
6,1,1,643.0
6,1,2,23.0
6,1,9,30.0
6,1,6,7.0
6,1,14,200.0
6,3,8,80.0
6,3,11,32.0
6,3,10,120.88
6,3,1,711.0
6,3,2,68.0
6,3,9,70.0
6,3,6,7.0
6,3,14,178.0
6,6,8,314.0
6,6,11,184.0
6,6,10,326.0
6,6,1,3436.0
6,6,2,112.0
6,6,9,134.0
6,6,6,58.0
6,6,14,558.0
6,2,8,67.0
6,2,11,111.0
6,2,10,59.81
6,2,1,1334.0
6,2,2,22.0
6,2,9,33.0
6,2,6,13.0
6,2,14,172.0
7,4,8,40.0
7,4,10,6.07
7,4,1,733.0
7,4,2,0.0
7,4,9,0.0
7,4,6,0.0
7,4,14,7.0
7,5,8,11.0
7,5,10,1.2
7,5,1,17.0
7,5,2,0.0
7,5,9,0.0
7,5,6,31.0
7,5,14,1.0
7,1,8,116.0
7,1,11,44.0
7,1,10,142.49
7,1,1,674.0
7,1,2,22.0
7,1,9,30.0
7,1,6,7.0
7,1,14,207.0
7,3,8,72.0
7,3,11,33.0
7,3,10,113.54
7,3,1,698.0
7,3,2,64.0
7,3,9,69.0
7,3,6,7.0
7,3,14,173.0
7,6,8,287.0
7,6,11,183.0
7,6,10,315.0
7,6,1,3506.0
7,6,2,107.0
7,6,9,133.0
7,6,6,58.0
7,6,14,548.0
7,2,8,49.0
