DateID,StateID,MaximumDemand,Shortage,EnergyMet,DrawalSchedule,OverUnderDrawal,MaxOverDrawal,EnergyShortage
3,21,14499.0,0.0,285.5,170.0,-0.2,720.0,0.0
3,22,15458.0,0.0,291.8,133.5,0.9,979.0,0.0
3,23,4296.0,0.0,89.1,73.3,-0.3,140.0,0.0
3,24,17137.0,0.0,357.4,216.0,-1.8,441.0,0.0
3,25,436.0,0.0,9.8,9.5,-0.4,20.0,0.0
3,26,5207.0,291.0,95.3,84.2,-0.5,406.0,1.51
3,27,3726.0,0.0,76.0,-47.5,-0.3,240.0,0.0
3,28,1338.0,77.0,29.5,21.5,-0.5,155.0,1.25
3,29,5695.0,0.0,106.5,46.3,-1.7,346.0,0.0
3,30,7712.0,0.0,156.0,25.2,-2.8,183.0,0.0
3,31,105.0,0.0,1.5,1.5,-0.1,60.0,0.0
3,33,164.0,0.0,2.6,2.6,-0.2,37.0,0.0
3,34,1490.0,0.0,23.8,18.1,-0.1,84.0,0.0
3,35,192.0,0.0,2.7,2.8,-0.1,20.0,0.0
3,36,304.0,53.0,4.8,3.4,0.0,35.0,1.42
3,37,122.0,0.0,1.7,1.7,-0.2,12.0,0.0
3,38,133.0,0.0,2.1,2.1,-0.1,21.0,0.0
3,39,253.0,0.0,3.6,3.2,0.1,25.0,0.0
4,1,6011.0,0.0,121.8,45.1,-0.9,238.0,1.15
4,2,6095.0,0.0,118.1,84.5,-0.2,140.0,0.0
4,3,10565.0,0.0,210.4,42.5,-5.7,15.0,0.0
4,4,3550.0,0.0,70.6,69.7,-1.5,106.0,0.0
4,5,17216.0,17.0,307.3,96.3,0.5,528.0,0.2
4,6,1932.0,0.0,38.1,24.1,0.3,90.0,0.18
4,7,1690.0,0.0,31.2,18.3,0.0,51.0,0.31
4,8,2856.0,0.0,56.5,47.9,-0.9,167.0,0.0
4,9,180.0,0.0,3.2,3.1,0.1,52.0,0.0
4,10,158.0,0.0,3.3,3.1,0.1,18.0,0.0
4,11,5119.0,0.0,119.2,65.1,-0.5,219.0,0.0
4,12,18841.0,0.0,415.7,200.0,2.4,968.0,0.0
4,13,11473.0,0.0,235.8,126.5,-3.9,392.0,0.0
4,14,27708.0,0.0,580.9,190.9,1.2,866.0,0.0
4,15,673.0,0.0,13.0,13.4,-0.8,50.0,0.0
4,16,1233.0,0.0,28.4,29.0,-0.6,27.0,0.0
4,17,773.0,0.0,17.3,5.4,0.2,276.0,0.0
4,18,514.0,0.0,12.3,12.2,0.1,6.0,0.0
4,20,11076.0,0.0,225.1,87.7,-0.4,667.0,0.0
4,21,13755.0,0.0,271.7,145.4,-1.1,571.0,0.0
4,22,14850.0,0.0,288.6,136.2,1.3,1415.0,0.0
4,23,4034.0,0.0,86.5,73.1,-0.1,194.0,0.0
4,24,17749.0,0.0,370.4,219.8,-2.5,486.0,0.0
4,25,428.0,0.0,9.7,9.6,-0.6,18.0,0.0
4,26,5614.0,0.0,103.9,92.3,-0.2,239.0,0.51
4,27,3542.0,0.0,75.5,-48.9,-0.7,215.0,0.0
4,28,1345.0,0.0,31.1,22.6,0.2,101.0,1.55
4,29,5553.0,0.0,106.3,41.4,-1.2,294.0,0.0
4,30,8505.0,0.0,183.1,42.6,-1.8,211.0,0.0
4,31,102.0,0.0,1.6,1.7,-0.1,44.0,0.0
4,33,159.0,0.0,2.8,2.5,0.2,50.0,0.0
4,34,1536.0,0.0,26.1,20.4,-0.4,84.0,0.0
4,35,198.0,0.0,2.8,2.8,0.0,26.0,0.0
4,36,317.0,43.0,4.9,3.3,0.1,43.0,1.54
4,37,118.0,0.0,1.8,1.6,-0.2,7.0,0.0
4,38,124.0,0.0,2.1,2.1,0.0,13.0,0.0
4,39,198.0,0.0,4.1,3.7,0.2,40.0,0.0
5,1,5885.0,0.0,119.8,43.6,-0.9,402.0,0.23
5,2,6413.0,0.0,124.6,89.5,-0.5,186.0,0.0
5,3,11118.0,0.0,220.0,44.9,-6.1,115.0,0.0
5,4,3666.0,0.0,73.6,72.4,-1.0,97.0,0.0
5,5,18131.0,0.0,315.1,95.1,-1.4,543.0,0.0
5,6,1983.0,0.0,38.0,24.2,0.4,148.0,0.07
5,7,1809.0,0.0,31.9,19.6,0.3,82.0,0.44
5,8,2859.0,0.0,58.3,48.0,0.9,221.0,0.44
5,9,170.0,0.0,3.1,3.3,-0.2,11.0,0.0
5,10,153.0,0.0,3.2,3.2,0.1,12.0,0.0
5,11,5167.0,0.0,118.3,63.2,0.4,253.0,0.0
5,12,18723.0,0.0,414.6,199.6,-2.0,1051.0,0.0
5,13,11409.0,0.0,238.5,130.6,-2.4,456.0,0.0
5,14,27434.0,0.0,560.1,198.2,3.3,1320.0,0.0
5,15,686.0,0.0,13.8,13.7,-0.3,52.0,0.0
5,16,1256.0,0.0,29.2,29.3,-0.1,26.0,0.0
5,17,784.0,0.0,17.1,7.0,0.5,297.0,0.0
5,18,517.0,0.0,12.3,12.4,-0.1,12.0,0.0
5,20,11451.0,0.0,227.4,81.1,0.2,401.0,0.0
5,21,13792.0,0.0,270.3,132.6,0.8,588.0,0.0
5,22,15280.0,0.0,292.9,135.3,1.0,1385.0,0.0
5,23,4205.0,0.0,86.8,72.1,-0.1,301.0,0.0
5,24,17743.0,0.0,370.3,221.8,-0.6,831.0,0.0
5,25,427.0,0.0,9.6,9.8,-0.9,21.0,0.0
5,26,5461.0,0.0,101.5,90.3,-1.6,280.0,0.33
5,27,3472.0,0.0,74.0,-47.7,-0.1,285.0,0.0
5,28,1381.0,57.0,31.4,22.5,0.3,125.0,1.44
5,29,5556.0,0.0,111.2,44.4,-1.4,460.0,0.0
5,30,8590.0,0.0,190.0,46.6,-2.6,108.0,0.0
5,31,102.0,0.0,1.6,1.5,0.1,50.0,0.0
5,33,156.0,0.0,2.6,2.6,-0.1,57.0,0.0
5,34,1570.0,0.0,27.1,20.1,-0.5,142.0,0.0
5,35,193.0,0.0,2.8,2.8,-0.1,22.0,0.0
5,36,344.0,0.0,5.3,3.5,0.0,40.0,0.93
5,37,118.0,0.0,1.8,1.6,-0.2,16.0,0.0
5,38,128.0,0.0,2.1,2.2,-0.1,16.0,0.0
5,39,255.0,0.0,4.3,4.1,0.0,33.0,0.0
6,1,5980.0,0.0,123.7,32.6,-1.3,84.0,0.0
6,2,6393.0,0.0,124.5,91.6,-1.7,179.0,0.0
6,3,10866.0,0.0,219.4,27.0,-5.6,158.0,0.0
6,4,3632.0,0.0,74.1,73.0,-1.3,103.0,0.0
6,5,18304.0,0.0,320.2,96.4,0.5,402.0,0.75
6,6,1921.0,0.0,38.4,26.2,0.3,182.0,0.01
6,7,1738.0,0.0,31.9,19.9,0.1,89.0,0.61
6,8,2814.0,0.0,55.0,48.2,-2.6,137.0,0.98
6,9,182.0,0.0,3.1,3.1,0.0,30.0,0.0
6,10,160.0,0.0,3.1,3.2,-0.1,20.0,0.0
6,11,5184.0,0.0,120.4,65.6,0.4,245.0,0.0
6,12,19185.0,0.0,421.0,200.5,-0.9,856.0,0.0
6,13,11462.0,0.0,240.4,142.9,-1.1,479.0,0.0
