DateID,LineID,Inter_Region,MaxImport,MaxExport,ImportEnergy,ExportEnergy,NetImportEnergy
1,1,ER-NR,0.0,0.0,,,
1,2,ER-NR,0.0,297.0,,,
1,3,ER-NR,445.0,921.0,,,
1,4,ER-NR,154.0,519.0,,,
1,5,ER-NR,0.0,499.0,,,
1,6,ER-NR,0.0,235.0,,,
1,7,ER-NR,0.0,184.0,,,
1,8,ER-NR,267.0,717.0,,,
1,9,ER-NR,13.0,554.0,,,
1,10,ER-NR,44.0,586.0,,,
1,12,ER-NR,77.0,466.0,,,
1,11,ER-NR,232.0,375.0,,,
1,14,ER-NR,0.0,154.0,,,
1,15,ER-NR,0.0,0.0,,,
1,16,ER-NR,25.0,0.0,,,
1,17,ER-NR,0.0,26.0,,,
1,18,ER-NR,0.0,0.0,,,
1,19,ER-WR,1380.0,251.0,,,
1,20,ER-WR,0.0,1783.0,,,
1,21,ER-WR,0.0,1289.0,,,
1,22,ER-WR,0.0,575.0,,,
1,23,ER-WR,0.0,494.0,,,
1,24,ER-WR,0.0,98.0,,,
1,25,ER-WR,110.0,28.0,,,
1,26,ER-SR,0.0,550.0,,,
1,27,ER-SR,0.0,1998.0,,,
1,28,ER-SR,0.0,3115.0,,,
1,29,ER-SR,211.0,975.0,,,
1,30,ER-SR,0.0,0.0,,,
1,31,ER-NER,120.0,217.0,,,
1,32,ER-NER,267.0,187.0,,,
1,33,ER-NER,42.0,19.0,,,
1,35,WR-NR,0.0,1995.0,,,
1,36,WR-NR,444.0,2.0,,,
1,37,WR-NR,0.0,1001.0,,,
1,38,WR-NR,125.0,1622.0,,,
1,39,WR-NR,921.0,1706.0,,,
1,40,WR-NR,293.0,577.0,,,
1,41,WR-NR,873.0,0.0,,,
1,42,WR-NR,0.0,894.0,,,
1,43,WR-NR,2169.0,0.0,,,
1,44,WR-NR,391.0,1725.0,,,
1,45,WR-NR,393.0,0.0,,,
1,46,WR-NR,737.0,0.0,,,
1,47,WR-NR,957.0,0.0,,,
1,48,WR-NR,823.0,226.0,,,
1,50,WR-NR,0.0,0.0,,,
1,51,WR-NR,0.0,30.0,,,
1,52,WR-NR,111.0,0.0,,,
1,53,WR-NR,96.0,0.0,,,
1,54,WR-NR,0.0,0.0,,,
1,55,WR-NR,0.0,0.0,,,
1,56,WR-SR,0.0,1016.0,,,
1,57,WR-SR,0.0,6028.0,,,
1,58,WR-SR,344.0,1556.0,,,
1,59,WR-SR,0.0,3288.0,,,
1,61,WR-SR,1073.0,0.0,,,
1,62,WR-SR,0.0,0.0,,,
1,63,WR-SR,0.0,0.0,,,
1,64,WR-SR,0.0,121.0,,,
2,1,ER-NR,0.0,0.0,,,
2,2,ER-NR,0.0,300.0,,,
2,3,ER-NR,258.0,875.0,,,
2,4,ER-NR,111.0,479.0,,,
2,5,ER-NR,0.0,501.0,,,
2,6,ER-NR,0.0,220.0,,,
