source_id,target_id,type,block_number,date,demand_met,direction,frequency,mechanism,report,reported_at,unit,value
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
,,APPLIES_TO,,,,,,,,,,
,,IS_METRIC,,,,,,,,,,
